# theta_arcsec xi_plus err
3.540837150365762298e+00 5.666024649720314832e-01 2.752865968655863749e-01
4.777837568103420196e+00 3.778100832776873919e-01 2.456825548853791286e-01
6.585248844205557006e+00 6.412801724848025964e-02 1.888032195748970410e-01
8.956598648354596293e+00 4.363942203626676453e-02 1.511153768824671229e-01
1.210738076581370670e+01 -1.134206874101711116e-01 1.133926432986820526e-01
1.643107361827800617e+01 9.056610952537136328e-02 8.649555905360431507e-02
2.227576580697099828e+01 1.042506589921155663e-02 6.517294725803900179e-02
3.014079745921748099e+01 3.286728068930598601e-02 4.908029661953344086e-02
4.106345375870726855e+01 -6.498127712812268655e-03 3.737965824182377939e-02
5.578992579155721643e+01 -4.975763694683409122e-02 2.812928783934471461e-02
7.567999618117917748e+01 1.599690626552939879e-02 2.121392033978304961e-02
1.028155668463412269e+02 2.428703472640393254e-02 1.613350698413140369e-02
1.394228452301656773e+02 1.047751607952104869e-03 1.231702827258892956e-02
1.891357152263509249e+02 -5.879622404697970595e-03 9.634289331421174232e-03
2.564269227765242363e+02 -8.589032526001457585e-03 7.599081660660637026e-03
3.473982324213148445e+02 2.818329629008996424e-03 6.194166376317878850e-03
4.705182648473661402e+02 6.718869213706200015e-04 5.354942035278750963e-03
6.350245100791672712e+02 -7.471040228360900474e-03 5.002992567054999687e-03
8.620033282690928900e+02 -3.774269352641144385e-03 4.931742536529956124e-03
