# theta_arcsec xi_plus err
3.540837150365763630e+00 2.332756148872805746e-01 1.058067768981947460e-01
4.777837568103419308e+00 1.432245783037768005e-01 9.442842320880684426e-02
6.585248844205560559e+00 2.536198901946557296e-02 7.256677353229794292e-02
8.956598648354598069e+00 1.418081393459431384e-02 5.808140007447128855e-02
1.210738076581370493e+01 -4.305305775888453729e-02 4.358261625522700383e-02
1.643107361827800261e+01 3.524645233713977893e-02 3.324468544299626072e-02
2.227576580697099473e+01 4.272195862936884608e-03 2.504931067783192425e-02
3.014079745921745968e+01 1.185551229352921516e-02 1.886407857719198458e-02
4.106345375870729697e+01 -2.341345034492610042e-03 1.436692234622132663e-02
5.578992579155721643e+01 -1.970602540921469192e-02 1.081152993502210169e-02
7.567999618117923433e+01 5.823728423958221198e-03 8.153599056707639542e-03
1.028155668463412553e+02 9.886779128485274556e-03 6.200935292497907272e-03
1.394228452301657626e+02 3.151732084870672635e-04 4.734066523125703661e-03
1.891357152263509818e+02 -2.711404842903099473e-03 3.702952172277623830e-03
2.564269227765244068e+02 -3.280211207108050652e-03 2.920717343508255018e-03
3.473982324213147876e+02 1.056569335853460535e-03 2.380736248373793371e-03
4.705182648473662539e+02 3.654105871580255282e-04 2.058179234589293128e-03
6.350245100791667028e+02 -2.730616728109323214e-03 1.922906979100692283e-03
8.620033282690936858e+02 -1.633827726736794680e-03 1.895521933226361477e-03
